feeling,sentence
happy,We are on time! 
sad,my head hurts
happy,deer in the front yard
happy,I love pizza! 
happy,I am so excited for our summer trip!
happy,I love chocolate and desserts! 
happy,went to disneyland :)
sad,I can't go to sleep.
happy,I love summer!
happy,I got new shoes
sad,I am upset that my dress is ruined! :( 
happy,Laugh as much as you breathe and love as long as you live.
happy,Everything's coming up roses
happy,Let's go play! I finished all my homework
happy,Mom gave me more chocolate
happy,Let's go shopping! Can't wait to meet our friends and get clothes!
happy,I got to eat my favorite food today 
sad,I could not find a job
happy,I love this cake...it's so yummy! 
sad,I have slime in my hair!
sad,The teacher was mean to me!
happy,I love the bouncy house! There are so many fun things to do! 
happy,I had a lot of fun today.
sad,I wish I got the same thing as her
happy,dancing with the stars
sad,I saw something scary on the news
sad,"sorrowful, bleak, miserable, despair, heartbreak are some sad words."
happy,My team won!
happy,I went to disneyland. The rides were really fun 
happy,I really like this song
sad,Why can't I buy that popsicle?
sad,I really want that popsicle
happy,The weather is beautiful today 
happy,Daddy loves me
happy,My friend is celebrating her birthday today!
happy,I graduated today with perfect grades!
happy,"Life, liberty and the pursuit of happiness"
sad,I lost my ipad :O
happy,I attended a really nice picnic which was thrown by one of my friends
sad,Down in the dumps
happy,Walk on air
happy,tears of joy
sad,My leg hurts
happy,Joy to the world
sad,Where is my mom
happy,Keep your chin up
happy,This food tastes really good!
happy,Can we stay longer?
happy,I cannot wait to jump in the playhouse! 
happy,I cannot believe that the famous rock band is coming to visit us here!!
sad,Why is she so skinny
happy,I had the best dream ever! 
happy,Its yummy
happy,There is so much to look forward to! 
happy,I cannot wait for the party today!
sad,I am sick
happy,On cloud nine
sad,In the dumps
happy,Today was the best day ever! 
happy,Comfortable in your skin
happy,I found my passion
happy,Walking on sunshine
sad,Today is a slow day.
happy,The stars are beautiful
sad,I hurt my knee
sad,I wish I had done things differently. 
happy,I am beautiful
happy,I am happy!
sad,"Sorry, mom says I can't go"
happy,I can't wait for the years to come!
happy,I like my jacket
sad,My friend is gone away
happy,I have enough money! Let's buy it!
happy,I want to go to school
happy,I got a certficate for perfect attendance!
happy,I had a ton of cake today
sad,I wish I could fast forward.
sad,"I am bloated, I don't feel good..I feel like puking "
happy,Domestic harmony
happy,It's My Birthday!
sad,I am nostalgic.
happy,We're going on a camping trip!?!? Yay!!! 
happy,"Love, joy, happiness, jubilance, sanguine, euphoria, good are some happy words."
happy,Mom and dad are planning a great party for christmas. I am excited
sad,a dog bit me
sad,my favourite team lost
sad,Today was the worst day ever.
happy,I got a new pet!
happy,Let's do something fun this summer!
sad,Sad state of affairs
happy,I am ecstatic! 
happy,I learned something new
happy,That cake looks so delectable. Love the chocolate frosting and flower designs!
happy,I am dancing mama
happy,I got a new kitten!
happy,Time of your life
sad,It burns me up
happy,I got a 100 on my science test!
happy,I am really happy!
sad,I don't feel great today.
happy,I am eating super healthy and feel great!
sad,I am disappointed. 
happy,Mama sing kirtan
happy,I have a new puppy and he is adorable!
happy,Grandpa bought me icecream
happy,I am so excited for tomorrow!
sad,I am unhappy to see that the food has hair in it. 
happy,Dancing on air
sad,I want to go to sleep
sad,This food tastes awful! What is this?
happy,I cannot believe I won the lottery! I'm so happy to hear that!
happy,It's a holiday tomorrow!
happy,what a beautiful music
happy,I won a trophy!
happy,I went to see Hamilton!
happy,I love salad! 
sad,>:( I am mad. 
sad,Why can't I get more candy?
sad,I am so stressed out and I cannot seem to relax
happy,When can we hang out? I'm free this weekend!
happy,This is so much fun!
happy,my cousins are visiting me!
sad,Come to grief
happy,I am jumping with joy
sad,I feel defeated
happy,Everything in the garden is rosey
sad,Today is Monday. Ewwww.
happy,Tons of fun!
happy,I work at Pyxeda
happy,We are going to the zoo
happy,Domestic bliss
happy,Hahaha I'm so happy!
happy,I don't have work today
happy,Mom made my favorite dish for dinner!
happy,Warm and fuzzy
happy,Crack a smile
happy,I am so lucky to have you as my best friend.
happy,Warms my heart
happy,I would love to go to the water park! 
happy,The pizza is great
happy,pancakes for breakfast and brunch!
happy,I got an A on my test!
sad,Gloom and doom
sad,I wish that I weren't allergic to pollen.
sad,Long faced
happy,Congratulations on your new job! 
happy,This dessert is delectable! 
happy,Today is Friday?? Yay!!! :D 
happy,I really really love this present!
happy, I feel good mama 
