feeling,sentence
sad,I need to get some exercise
sad,I have to get my braces back on
happy,I am eating super healthy and feel great!
sad,He/she pushed me at school
sad,Can we leave now?
sad,In a blue funk
sad,I miss my friend.
sad,"Sorry, mom says I can't go"
sad,Why does school have to start so early? 
happy,Dancing on air
sad,They will not stop arguing!
happy,Everything's coming up roses
sad,I'm bored and tired.
happy,All glories to you
happy,Warms my heart
happy,On top of the world
sad,Where is my mom
sad,I am homesick.
happy,dancing with the stars
sad,I can't solve the teacher's math problem
happy,That cake looks so delectable. Love the chocolate frosting and flower designs!
happy,I got an A+ in physics! 
sad,My music teacher said I can’t sing 
happy,I went on a great hike and now I feel energized
happy,I had a ton of cake today
happy,pancakes for breakfast and brunch!
happy,I would love to go to the water park! 
happy,I love the bouncy house! There are so many fun things to do! 
happy,I can't wait for the years to come!
sad,It burns me up
happy,I want to go to school
happy,I had super yummy sri lankan food and sweets
sad,In the dumps
sad,I am going to miss my friends
happy,I found my passion
happy,It's My Birthday!
sad,I came too late. 
happy,I had the best dream ever! 
sad,Into the wild blue yonder
sad,What a drag
happy,kittens playing with toys
happy,Jump for joy
sad,I wish I could fast forward.
happy,Haha today is a great day! 
sad,My mom took my phone away
happy,I don't have work today
sad,I am so stressed out and I cannot seem to relax
happy,there are rainbows everywhere
sad,I don't want to talk to you
sad,Mom and dad are fighting again
sad,I went to disneyland The lines were so long and I waited in line for hours
happy,I got a new kitten!
happy,I really really love this present!
happy,Joy to the world
sad,Depths of despair
sad,I really want that popsicle
sad,I'm too tired for rock climbing
happy,Mom made my favorite dish for dinner!
happy,The dance show went great!
sad,My hair has too many tangles!
sad,Today is Monday. Ewwww.
sad,Why can't I buy that popsicle?
happy,my cousins are visiting me!
sad,I don’t want to wake up now
sad,I hurt my knee
sad,My ears are hurting
sad,I saw something scary on the news
sad,I have to eat vegetables
happy,Walk on air
happy,I distributed a bhagavad-gita
happy,I had a lot of fun today.
happy,I went to see Hamilton!
sad,A friend is sick
sad,Come to grief
happy,I am really happy!
happy,My friend is celebrating her birthday today!
happy,We don't have school tomorrow!
happy,Summer is almost here!
sad,I am morose today.
sad,college applications are way too hard
happy,I am ecstatic! 
happy,I drew a beautiful picture!
happy ,I can't believe I'm finally graduating! :) 
happy,I got a 100 on my science test!
happy,I am jumping with joy
sad,I don't know how to do my homework
happy,I went to disneyland. The rides were really fun 
sad,I feel lonely
happy,I attended a really nice picnic which was thrown by one of my friends
happy,When can we hang out? I'm free this weekend!
happy,Walking on sunshine
sad,Stop it( my daughter says this when she hears two people arguing)
sad,I am ugly
sad,I have to go to math camp again this summer
sad,Long faced
happy,I like to read
sad,I am disappointed. 
happy,My cousin is graduating from college!
happy,We're going on a camping trip!?!? Yay!!! 
happy,I learned something new
sad,my favourite team lost
happy,This dessert is delectable! 
sad,I broke my arm
happy,I really like this song
sad,Its disgusting
happy,I am happy!
happy,I got to eat my favorite food today 
happy,My friend is coming for play date 
happy,I am so excited for tomorrow!
happy,I am dancing mama
sad,bored at home
happy,I cannot wait for the party today!
sad,I'm exhausted.
happy,i love my sister
sad,I feel fat
happy,On cloud nine
happy,I am beautiful
happy,Let's go shopping! Can't wait to meet our friends and get clothes!
happy,Happy birthday! Congratulations on another year!
happy,I am cool
happy,We are going to the zoo
happy,Mama loves me
happy,Comfortable in your skin
sad,I'm feeling blue.
happy,Mom and dad are planning a great party for christmas. I am excited
happy,I played for 5 hours today :O
happy,I love summer!
sad,I wish that it weren't raining outside. This weather is terrible!
happy,Mama sing kirtan
happy,Domestic harmony
sad,I was late for school and got a tardy
sad,When can we go to the park?
sad,I got a bad grade in english.
sad,I am sick
