house,description
Hufflepuff," hard work, patience, justice, and loyalty."
Ravenclaw," intelligence, creativity, learning, and wit."
Slytherin,"ambition, cunning, leadership, and resourcefulness."
Slytherin,"students tend to clique together, often acquiring leaders, which further exemplifies Slytherin's ambitious qualities."
Slytherin,founder highly valued and favoured pure-blood students
Slytherin,corresponds roughly with the element of water due to serpents and snakes being commonly associated with the sea and lochs
Slytherin,highly developed senses of self-preservation
Slytherin,"tendency towards deep, unrequited love."
Slytherin,"Severus Snape and The Bloody Baron held abiding but unreturned feelings for Lily Evans and Helena Ravenclaw, respectively."
Slytherin, blood purity was a factor in selecting Slytherins. 
Slytherin,well-known reputation for creating dark witches and wizards
Slytherin,the light in the common room is green
Slytherin,"For instance, when given the choice, we will always choose to save our own necks"
Slytherin,"only known Slytherin password is ""pureblood"", used in 1992."
Slytherin,"mascot is a snake, and the colors are green and silver"
Slytherin,"common room is in the dungeons near the lake, and contains skulls and low-hanging green lamps"
Slytherin,"cunning - very crafty and sneaky, rarely ever getting caught"
Slytherin,ambition - want to have the best status possible
Slytherin,"resourceful - they may not have all the answers, but they know how to use what they have"
Slytherin,pure lineage - having a pure family can come in handy in the world of politics. Just ask Lucius Malfoy
Slytherin,"a high sense of self-preservation, ends justify the means, power hungry"
Slytherin,"However, a Muggle-Born student from that house is considered to be quite rare."
Slytherin,The patron ghost of the house is the Bloody Baron.
Slytherin,"This means that Slytherins tend to hesitate before acting, so as to weigh all possible outcomes before deciding exactly what should be done."
Slytherin,pride and that sometimes makes them arrogant.
Slytherin,want to be in charge and they want to be leaders.
Slytherin,pride and that sometimes makes them arrogant.
Slytherin, believe in doing what is necessary
Ravenclaw,"Knowledge, creativity, intelligence, wisdom, and cleverness – those are the qualities of a Ravenclaw"
Ravenclaw,The smartest and most clever people can be found in this house. 
Ravenclaw,strive to do what is wise.
Ravenclaw,good sense of humor and are often quirky.
Ravenclaw,lead through wisdom and they will always use their brains to resolve any situation.
Ravenclaw,intelligent - their biggest trait
Ravenclaw,"creativity - not only intelligent, but very unpredictable and creative with their spellwork"
Ravenclaw,"good looks, provide the prettiest faces"
