feeling,sentence
happy,Walk on air
happy,On cloud nine
happy,We don't have school tomorrow!
happy,That cake looks so delectable. Love the chocolate frosting and flower designs!
happy,The pizza is great
happy,Congratulations on your new job! 
happy,I had a lot of fun today.
happy,what a beautiful music
happy,I went cherry picking!
happy,My friend is celebrating her birthday today!
happy,Let's do something fun this summer!
happy,Haha today is a great day! 
happy,I am going cherry picking
happy,The weather is beautiful today 
happy,deer in the front yard
happy,We're going on a camping trip!?!? Yay!!! 
happy,Let's go to the pool
happy,Mom gave me more chocolate
happy,Mama sing kirtan
happy, I feel good mama 
happy,I have a new puppy and he is adorable!
happy,I made cool looking pancakes with my friends
happy,Over the moon
happy,I am dancing mama
happy,I solved a rubik cube in one minute!
happy,I got new shoes
happy,I got a new kitten!
happy,I can't wait for the years to come!
happy,Today is Friday?? Yay!!! :D 
happy,Everything's coming up daisies
happy,Can we stay longer?
happy,I went to see Hamilton!
happy,Can I have more? It's so delicious!
happy,jumping with joy
happy,Happy birthday! Congratulations on another year!
happy,My cousin is graduating from college!
happy,I love salad! 
happy,Let's go play! I finished all my homework
happy,I distributed a bhagavad-gita
happy,Let's go shopping! Can't wait to meet our friends and get clothes!
happy,I like to read
happy,I am cool
happy,I won a trophy!
happy,My friend is coming for play date 
happy,I got a certficate for perfect attendance!
happy,I attended a really nice picnic which was thrown by one of my friends
happy,Jump for joy
happy,Everything's coming up roses
happy,On top of the world
happy,On the crest of a wave
happy,I got a new pet!
happy,there are rainbows everywhere
happy,Laugh as much as you breathe and love as long as you live.
happy,I am ecstatic! 
happy,Summer is almost here!
happy,Walking on sunshine
happy,I am eating super healthy and feel great!
happy,I went to disneyland. The rides were really fun 
happy,I love this cake...it's so yummy! 
happy,Domestic harmony
happy,This dessert is delectable! 
happy,I really like this song
happy,I am jumping with joy
happy,I really really love this present!
happy,Mom and dad are planning a great party for christmas. I am excited
happy,My team won!
happy,I finally saw the movie!
happy,"Don't worry, be happy"
happy,Grandpa bought me icecream
happy,The dance show went great!
happy,I am going to collect rocks
happy,went to disneyland :)
happy,I love summer!
happy,Dream come true
happy,I love the bouncy house! There are so many fun things to do! 
happy,I have enough money! Let's buy it!
happy,I am so excited for our summer trip!
happy,We are going to the zoo
happy,dancing with the stars
happy,We are going camping
happy,I love chocolate and desserts! 
happy,ice cream every day
happy,received a hearty welcome
happy,I cannot believe I won the lottery! I'm so happy to hear that!
happy,I am really happy!
happy,"Life, liberty and the pursuit of happiness"
happy,Dancing on air
happy,tears of joy
happy,"Love, joy, happiness, jubilance, sanguine, euphoria, good are some happy words."
happy,Everything in the garden is rosey
happy,I will have a great summer!
happy,"The sun is really bright, and the weather is perfect today!"
happy,I graduated today with perfect grades!
happy,I am beautiful
happy,This food tastes really good!
happy,I cannot believe that the famous rock band is coming to visit us here!!
happy,When can we hang out? I'm free this weekend!
happy,Lift up your hearts
happy,Warms my heart
sad,I don't feel great today.
happy,This is so much fun!
happy,Keep your chin up
happy,sleeping in late
happy,pancakes for breakfast and brunch!
happy,I like my jacket
happy,I got a 100 on my science test!
happy,Its yummy
happy,I cannot wait for the party today!
happy,I got an A on my test!
happy,Mom made my favorite dish for dinner!
happy,I am happy!
happy,It's My Birthday!
happy,Joy to the world
happy,Time of your life
happy,It's a holiday tomorrow!
happy,All glories to you
happy,Today was the best day ever! 
happy,I love pizza! 
happy,I had a ton of cake today
happy,I don't have work today
happy,I had super yummy sri lankan food and sweets
happy,Summer is here!
happy,Comfortable in your skin
happy,I work at Pyxeda
happy,We are on time! 
happy,I would love to go to the water park! 
happy,The stars are beautiful
happy,Mama loves me
happy,i love my sister
happy,Domestic bliss
happy,I want to go to school
happy,Tons of fun!
happy,kittens playing with toys
happy,I am so excited for tomorrow!
happy,I found my passion
happy,This is the last week of school!
happy,Hahaha I'm so happy!
happy,I had the best dream ever! 
happy,my cousins are visiting me!
happy,Daddy loves me
happy,I got to eat my favorite food today 
happy,I learned something new
happy,There is so much to look forward to! 
happy,Warm and fuzzy
happy,I am so lucky to have you as my best friend.
happy,my life is great. Everyone loves me
happy,I got an A+ in physics! 
happy,Crack a smile
happy,I am going to do a fundraiser to help other kids
happy,I cannot wait to jump in the playhouse! 
