feeling,sentence
happy,Joy to the world
happy,I am beautiful
happy,This is so much fun!
happy,Walk on air
happy,Let's go play! I finished all my homework
happy,Summer is here!
happy,On top of the world
happy,I love the bouncy house! There are so many fun things to do! 
happy,Summer is almost here!
happy,Everything's coming up daisies
happy,The weather is beautiful today 
happy,I am really happy!
happy,I cannot believe I won the lottery! I'm so happy to hear that!
happy,I am so lucky to have you as my best friend.
happy,We are going camping
happy,I have enough money! Let's buy it!
happy,I am eating super healthy and feel great!
happy,deer in the front yard
happy,Mama loves me
happy,Haha today is a great day! 
happy,went to disneyland :)
happy,Today was the best day ever! 
happy,Comfortable in your skin
happy,Walking on sunshine
happy,I am going to do a fundraiser to help other kids
happy,I can't wait for the years to come!
happy,I made cool looking pancakes with my friends
happy,I attended a really nice picnic which was thrown by one of my friends
happy,Dream come true
happy,Keep your chin up
happy,I am happy!
happy,This is the last week of school!
happy,I went cherry picking!
happy,I don't have work today
happy,When can we hang out? I'm free this weekend!
happy,Mom made my favorite dish for dinner!
happy,I learned something new
happy,My team won!
happy,I went to disneyland. The rides were really fun 
happy,"The sun is really bright, and the weather is perfect today!"
happy,We don't have school tomorrow!
happy,I had a ton of cake today
happy,I drew a beautiful picture!
happy,sleeping in late
happy,I went on a great hike and now I feel energized
happy,Everything's coming up roses
happy,The pizza is great
happy, I feel good mama 
happy,I won a trophy!
happy,I am so excited for tomorrow!
happy,Mom gave me more chocolate
happy,I found my passion
happy,I distributed a bhagavad-gita
happy,I went to see Hamilton!
happy,My friend is coming for play date 
happy,It's My Birthday!
happy,Daddy loves me
happy,Can I have more? It's so delicious!
happy,"Life, liberty and the pursuit of happiness"
happy,Happy birthday! Congratulations on another year!
happy,"Don't worry, be happy"
happy,Can we stay longer?
happy,I love this cake...it's so yummy! 
happy,I got a new pet!
happy,I got an A on my test!
happy,I love summer!
happy,I am ecstatic! 
happy,I finally saw the movie!
happy,I played for 5 hours today :O
happy,I got to eat my favorite food today 
happy,I love pizza! 
happy,I will have a great summer!
sad,It's a Heartache
happy,Domestic bliss
happy,I like to read
happy,I am so excited for our summer trip!
happy,I really really love this present!
happy,Jump for joy
happy,I had a lot of fun today.
happy,We are going to the zoo
happy,pancakes for breakfast and brunch!
happy,The stars are beautiful
happy,I like my jacket
happy,what a beautiful music
happy,Time of your life
happy,I cannot believe that the famous rock band is coming to visit us here!!
happy,Its yummy
happy,I had the best dream ever! 
happy,Warm and fuzzy
happy,Dancing on air
happy,Mom and dad are planning a great party for christmas. I am excited
happy,I got a new kitten!
happy,Let's go to the pool
happy,I want to go to school
happy,I cannot wait to jump in the playhouse! 
happy,We're going on a camping trip!?!? Yay!!! 
happy,I would love to go to the water park! 
happy,I really like this song
happy,Let's do something fun this summer!
happy,This food tastes really good!
happy,Grandpa bought me icecream
happy,tears of joy
happy,I am jumping with joy
happy,I work at Pyxeda
happy,I got new shoes
happy,I am going cherry picking
happy,dancing with the stars
happy,kittens playing with toys
happy,All glories to you
happy,My friend is celebrating her birthday today!
happy,My cousin is graduating from college!
happy,I have a new puppy and he is adorable!
happy,On the crest of a wave
happy,I got a certficate for perfect attendance!
happy,There is so much to look forward to! 
happy,I had super yummy sri lankan food and sweets
happy,i love my sister
happy,On cloud nine
happy,Hahaha I'm so happy!
happy,Everything in the garden is rosey
happy,The dance show went great!
happy,Laugh as much as you breathe and love as long as you live.
happy,I graduated today with perfect grades!
happy,my life is great. Everyone loves me
happy,That cake looks so delectable. Love the chocolate frosting and flower designs!
happy,Life is rosy
happy,ice cream every day
happy,Tons of fun!
happy,jumping with joy
happy,Lift up your hearts
happy,I am dancing mama
happy,I love chocolate and desserts! 
happy,my cousins are visiting me!
happy,Mama sing kirtan
happy,Crack a smile
happy,We are on time! 
happy,It's a holiday tomorrow!
happy,This dessert is delectable! 
happy,Over the moon
happy,I solved a rubik cube in one minute!
happy,I am going to collect rocks
happy,Today is Friday?? Yay!!! :D 
happy,Congratulations on your new job! 
happy,"Love, joy, happiness, jubilance, sanguine, euphoria, good are some happy words."
happy,Warms my heart
happy,received a hearty welcome
happy,I got an A+ in physics! 
happy,I cannot wait for the party today!
happy,Let's go shopping! Can't wait to meet our friends and get clothes!
happy,there are rainbows everywhere
